BIOREGION,EVC,X_EVCNAME,EVC_BCS,area1750_ha,area2005_ha,proportion_remaining
Victorian Riverina,158,Chenopod Mallee,V,6.68,0,0
Warrnambool Plain,136,Sedge Wetland,E,13.44,0,0
Victorian Riverina,255,Riverine Grassy Woodland/Sedgy Riverine Forest/Wetland Formation Mosaic,V,5265.5,16.93,0.003215269205203684
Goldfields,259,Plains Grassy Woodland/Gilgai Wetland Mosaic,E,12.959999999999999,0.06,0.004629629629629629
Victorian Volcanic Plain,742,Basalt Shrubby Woodland/Herb-rich Foothill Forest Mosaic,E,1237.6299999999999,5.859999999999999,0.004734856136325073
Victorian Volcanic Plain,744,Stony Knoll Shrubland/Basalt Shrubby Woodland Mosaic,E,222.69,1.14,0.005119224033409672
Gippsland Plain,707,Sedgy Swamp Woodland,E,192.23,1.04,0.0054101857150288726
Gippsland Plain,719,Grassy Woodland/Damp Sands Herb-rich Woodland Mosaic,E,2677.73,15.51,0.005792219529228115
Wimmera,661,Plains Woodland/Grassy Woodland Mosaic,E,68.05,0.43000000000000005,0.006318883174136665
Gippsland Plain,892,Heathy Woodland/Sand Heathland Mosaic,LC,1317.77,8.39,0.0063668166675520015
Wimmera,110,Riverine Chenopod Woodland/Plains Grassland Mosaic,E,190.33,1.28,0.00672516156149845
Victorian Volcanic Plain,934,Brackish Grassland,E,105.61,0.73,0.0069122242211911746
Otway Ranges,175,Grassy Woodland,E,5.640000000000001,0.04,0.0070921985815602835
Victorian Volcanic Plain,932,Wet Verge Sedgeland,E,129.9,1.01,0.007775211701308698
Warrnambool Plain,733,Swamp Scrub/Plains Sedgy Wetland/Aquatic Herbland Mosaic,E,174.02,1.57,0.009021951499827607
Gippsland Plain,418,Damp Sands Herb-rich Woodland/Heathy Woodland Complex,V,344.05,3.36,0.009766022380467955
Warrnambool Plain,647,Plains Sedgy Wetland,E,700.79,7.61,0.01085917321879593
Strzelecki Ranges,687,Swamp Scrub/Plains Grassland Mosaic,E,15.64,0.21,0.013427109974424551
Warrnambool Plain,55,Plains Grassy Woodland,E,4955.89,71.65,0.01445754445720143
Glenelg Plain,642,Basalt Shrubby Woodland,E,15.33,0.24,0.015655577299412915
Goldfields,267,Plains Grassland/Plains Grassy Woodland/Gilgai Wetland Mosaic,E,17.330000000000002,0.29,0.016733987305251007
Victorian Volcanic Plain,654,Creekline Tussock Grassland,E,26.64,0.49,0.01839339339339339
Warrnambool Plain,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,943.89,17.46,0.018497918189619555
Victorian Volcanic Plain,666,Riparian Shrubland/Escarpment Shrubland/Grassy Woodland Mosaic,E,2590.78,49.7,0.01918341194543728
Dundas Tablelands,652,Lunette Woodland,E,20.25,0.39,0.01925925925925926
Victorian Volcanic Plain,651,Plains Swampy Woodland,E,12406.27,243.67000000000002,0.019640875138135797
Warrnambool Plain,175,Grassy Woodland,E,6431.34,154.43,0.02401210323198587
Otway Plain,125,Plains Grassy Wetland,E,30.7,0.74,0.024104234527687295
Gippsland Plain,927,Plains Grassy Woodland/Swamp Scrub/Plains Grassy Wetland Mosaic,E,1411.12,36.160000000000004,0.025625035432847672
Victorian Riverina,257,Sandstone Ridge Shrubland/Box Ironbark Forest Mosaic,V,3.84,0.1,0.026041666666666668
Gippsland Plain,701,Swamp Scrub/Warm Temperate Rainforest/Billabong Wetland Mosaic,E,1815.8400000000001,48.87,0.026913164155432195
Victorian Volcanic Plain,705,Basalt Creekline Shrubby Woodland,E,3875.77,105.75,0.02728490080680742
Victorian Volcanic Plain,642,Basalt Shrubby Woodland,E,64690.31,1782.46,0.02755374027423891
Goldfields,97,Semi-arid Woodland,V,384.21000000000004,10.84,0.02821373727909216
Dundas Tablelands,776,Plains Swampy Woodland/Swamp Scrub Mosaic,E,1277.77,37.7,0.02950452741886255
Victorian Volcanic Plain,165,Damp Heath Scrub,V,39.93,1.2100000000000002,0.030303030303030307
Goldfields,132,Plains Grassland,E,33.16,1.06,0.03196622436670688
Otway Plain,132,Plains Grassland,E,4424.46,141.66,0.032017466538289414
Victorian Volcanic Plain,283,Plains Sedgy Woodland,V,47.050000000000004,1.5099999999999998,0.03209351753453772
Victorian Volcanic Plain,652,Lunette Woodland,E,215.38,7.01,0.032547126009843066
Victorian Riverina,694,Sandstone Ridge Shrubland/Low Rises Woodland Mosaic,E,146.66,4.86,0.03313786990317742
Warrnambool Plain,651,Plains Swampy Woodland,E,3937.8999999999996,132.1,0.0335457985220549
Warrnambool Plain,714,Stony Knoll Shrubland/Plains Grassy Woodland/Plains Grassy Wetland Mosaic,E,476.88,16.36,0.03430632444220768
Victorian Volcanic Plain,710,Damp Heathland,V,117.57000000000001,4.109999999999999,0.03495789742281193
Victorian Riverina,241,Valley Grassy Forest/Plains Grassy Woodland Complex,E,5.72,0.2,0.03496503496503497
Gippsland Plain,408,Valley Grassy Forest/Herb-rich Foothill Forest Complex,V,678.6999999999999,25.32,0.037306615588625316
Victorian Riverina,273,Plains Woodland/Plains Grassland/Gilgai Wetland Mosaic,E,11581.400000000001,434.18,0.03748942269501096
Murray Mallee,28,Rocky Outcrop Shrubland,na,16.99,0.65,0.038257798705120666
Wimmera,132,Plains Grassland,E,84285.67,3312.35,0.03929908844528376
Otway Plain,203,Stony Rises Woodland,V,423.38,17.11,0.040412867872832915
Dundas Tablelands,763,Damp Heathland/Damp Heathy Woodland/Seasonally Inundated Shrubby Woodland Mosaic,V,29.92,1.22,0.04077540106951871
Warrnambool Plain,83,Swampy Riparian Woodland,E,103.65,4.4,0.042450554751567775
East Gippsland Lowlands,125,Plains Grassy Wetland,E,19.04,0.81,0.04254201680672269
Warrnambool Plain,200,Shallow Freshwater Marsh,E,1315.21,57.81,0.043954957763399
Gippsland Plain,639,Swamp Scrub/Plains Grassy Forest Mosaic,E,2917.5099999999998,139.52,0.04782160129699642
Strzelecki Ranges,128,Grassy Forest,E,303.74,14.56,0.0479357345097781
Gippsland Plain,690,Floodplain Riparian Woodland/Billabong Wetland Mosaic,E,3058.58,149.1,0.048748111868906485
Central Victorian Uplands,803,Plains Woodland,E,106.46,5.36,0.05034754837497652
Wimmera,97,Semi-arid Woodland,V,3744.77,191.24,0.051068556947422676
Central Victorian Uplands,235,Plains Woodland/Herb-rich Gilgai Wetland Mosaic,E,1628,86.26,0.05298525798525799
Gippsland Plain,897,Plains Grassland/Plains Grassy Woodland Mosaic,E,19176.54,1034.98,0.05397115433753951
Warrnambool Plain,125,Plains Grassy Wetland,E,33.19,1.81,0.05453449834287437
Victorian Volcanic Plain,791,Damp Sands Herb-rich Woodland/Plains Grassy Woodland Complex,E,96.22,5.25,0.05456246102681355
Warrnambool Plain,746,Damp Heathland/Damp Heathy Woodland Mosaic,E,16842.62,923.9,0.054854885997546704
Victorian Riverina,652,Lunette Woodland,E,2132.18,118.19,0.0554315301709987
Victorian Riverina,82,Riverine Escarpment Scrub,E,18.87,1.05,0.05564387917329094
Wimmera,826,Plains Savannah,E,380175.12,21403.3,0.056298528951605246
Gippsland Plain,881,Damp Sands Herb-rich Woodland/Heathy Woodland Mosaic,V,1743.24,99.29,0.05695716023037563
Victorian Volcanic Plain,716,Plains Grassy Woodland/Stony Knoll Shrubland Mosaic,E,1045.6200000000001,59.88,0.05726745854134389
Victorian Volcanic Plain,897,Plains Grassland/Plains Grassy Woodland Mosaic,E,4887.669999999999,280.67,0.0574240895968836
Wimmera,95,Red Swale Mallee,LC,223.68,12.9,0.05767167381974249
Gippsland Plain,686,Wet Heathland/Damp Heathland Mosaic,D,7090.57,413.5,0.058316891307751
Victorian Volcanic Plain,733,Swamp Scrub/Plains Sedgy Wetland/Aquatic Herbland Mosaic,E,8714.130000000001,513.24,0.05889744587239345
Otway Plain,55,Plains Grassy Woodland,E,17234.89,1016.96,0.05900588863636496
Wimmera,96,Ridged Plains Mallee,E,142382.97,8461.64,0.059428736456333224
Victorian Volcanic Plain,657,Freshwater Lignum Shrubland,E,10.57,0.63,0.059602649006622516
Gippsland Plain,127,Valley Heathy Forest,E,20945.48,1278.21,0.061025576878639215
Dundas Tablelands,791,Damp Sands Herb-rich Woodland/Plains Grassy Woodland Complex,E,35429.4,2216.81,0.0625697866743439
Highlands - Southern Fall,132,Plains Grassland,E,44.72,2.81,0.06283542039355994
Gippsland Plain,906,Brackish Grassland/Swamp Scrub Mosaic,E,46.84,2.95,0.0629803586678053
